Count,Greedy Contigs,Greedy N50,Greedy Time,LocalSearch Contigs,LocalSearch N50,LocalSearch Time,Firefly Contigs,Firefly N50,Firefly Time
500,1,494,0,1,494,0,2,342,6.59
1000,1,979,0,1,979,0.02,25,111,122.44
1500,3,875,0,3,875,0.09,39,111,428.4
2000,2,1455,0,2,1455,0.3,63,109,1297.22
2500,2,2071,0,3,1737,0.87,4,1372,17377.7
3000,1,2995,0,1,2995,1.75,84,112,4121.25
3500,4,2431,0.01,5,1070,2.47,63,124,23572.3
4000,1,3972,0.01,2,2361,5.78,66,122,44967.9
4500,2,2982,0.01,2,2982,15.44,135,112,11618.1
5000,3,4275,0.01,4,3662,19.03,124,116,25531
